[
    [-1.95845317e-04, -1.65637020e-03, 1.35907804e-03, 2.08150728e-03, 5.97875600e-03, -8.41042774e-03, 2.45448028e-03, 5.74970778e-03, -5.25301845e-03, -6.58630791e-03, 3.61110891e-03, -4.28387433e-03, -1.02479940e-02],
    [2.00572254e-03, -1.76241385e-03, 1.60319393e-03, 7.98669145e-04, 8.63015280e-03, -1.10606661e-02, 6.44348023e-03, 3.59510052e-03, -7.18615687e-04, -7.25727953e-03, 7.13481051e-03, -1.40408494e-02, -1.07448270e-02],
    [2.98243018e-03, -1.43021402e-03, 1.02120682e-03, 1.31013962e-03, 8.11371579e-03, -1.03250313e-02, 7.49259483e-03, 4.69338983e-03, -1.50357191e-04, -7.03511184e-03, 7.34705895e-03, -1.38088668e-02, -9.10204921e-03],
    [2.78164240e-03, -7.99549722e-04, 7.50890202e-04, 1.48563006e-03, 8.19878206e-03, -1.18086452e-02, 6.49680144e-03, 5.93659060e-03, 6.82428208e-04, -7.15137947e-03, 7.52953187e-03, -1.12737588e-02, -8.00181658e-03],
    [3.35885377e-03, -1.12247472e-03, 1.31465715e-03, 2.16077525e-03, 7.40946870e-03, -1.18796600e-02, 6.70284152e-03, 6.44657420e-03, 1.86274442e-03, -7.26914863e-03, 9.61344497e-03, -7.47382447e-03, -9.15781357e-03],
    [5.11257082e-03, -5.41135889e-04, 2.17312672e-03, 2.38797382e-03, 7.10195473e-03, -1.02871049e-02, 8.53731015e-03, 7.15683595e-03, 4.61469551e-03, -6.51726408e-03, 1.60742672e-02, -5.60284838e-03, -5.95101846e-03],
    [6.81859583e-03, -4.80008367e-04, 3.38504316e-03, 4.92890586e-03, 5.96055886e-03, -1.27248458e-02, 9.02039197e-03, 6.23899834e-03, 5.73850505e-03, -5.06348535e-03, 1.61024553e-02, -5.12305655e-03, -8.06817268e-03],
    [6.72877359e-03, 3.59625881e-04, 3.22540228e-03, 7.68207045e-03, 6.42601893e-03, -1.23322262e-02, 1.17898233e-02, 8.95705976e-03, 7.00634835e-03, -3.64082254e-03, 1.68313247e-02, -2.40010141e-03, -3.58008377e-03],
    [5.82360282e-03, 4.21937005e-04, 4.68553629e-03, 8.47996983e-03, 4.64398482e-03, -1.47938915e-02, 1.81271957e-02, 7.00563941e-03, 9.73814610e-03, -1.07170344e-03, 1.69625588e-02, 3.70183352e-03, 9.73641393e-03],
    [8.32303458e-03, 8.38204169e-04, 2.19543702e-03, 9.08449334e-03, 3.35078736e-03, -1.66518134e-02, 1.62975463e-02, 8.25448038e-03, 1.02848374e-02, 4.07064093e-04, 1.54864365e-02, 5.61354132e-03, 6.91775166e-03],
    [8.35669707e-03, 1.88503119e-03, -3.69805531e-04, 9.32574489e-03, 2.16202478e-03, -1.93001934e-02, 1.66731210e-02, 6.90897870e-03, 6.82637168e-03, -5.26448240e-04, 1.67395239e-02, 5.73383988e-03, 5.74024487e-03],
    [5.90896183e-03, 2.71162521e-03, -1.17407446e-03, 1.13128429e-02, 4.22528289e-03, -2.09495990e-02, 1.28786094e-02, 5.77160931e-03, 6.85821598e-03, 1.54112462e-03, 1.33957513e-02, 4.34926813e-03, 7.74059686e-03],
    [7.65594819e-03, 3.23433061e-03, -1.01258952e-03, 1.32370271e-02, 3.10677098e-03, -1.56243272e-02, 9.39946451e-03, 7.59792093e-03, 8.54032882e-03, 5.89395275e-03, 1.68643144e-02, 9.60035668e-03, 1.62885605e-02],
    [6.18148116e-03, 2.47051010e-03, -2.19897933e-03, 1.18381146e-02, 1.89416779e-03, -8.80946534e-03, 1.41098299e-02, 1.10494517e-02, 5.89919480e-03, 4.33526107e-03, 1.88772503e-02, 9.52792707e-03, 1.16029060e-02],
    [7.25506680e-03, 1.26196497e-03, -2.33832392e-03, 9.46563292e-03, 2.26331633e-03, -6.16327716e-03, 1.63041439e-02, 1.05515554e-02, 6.63712624e-03, 5.63377917e-03, 2.23225343e-02, 6.85184214e-03, 1.40554021e-02],
    [7.03994607e-03, 1.44860876e-03, -3.68096342e-03, 7.64238639e-03, 3.19187604e-03, -3.75923380e-03, 2.25966998e-02, 1.27246200e-02, 7.72004280e-03, 3.78466403e-03, 2.49626363e-02, 6.74272360e-03, 1.48644486e-02],
    [-5.16219127e-03, 4.38370576e-03, -1.32118987e-03, 2.05920725e-02, -4.48559163e-04, 1.82397411e-03, 1.48100656e-02, 1.78131292e-02, 1.92548256e-03, 1.36079516e-02, -3.80685343e-02, -5.02828200e-03, 1.62036210e-02]
]
