[
    [-1.33319871e-03, -1.52151711e-03, 3.33740596e-04, 2.14860462e-03, 5.82288718e-03, -8.96933504e-03, 2.75381816e-03, 5.75740920e-03, -5.72329508e-03, -6.77680935e-03, 2.80928725e-03, -4.73601048e-03, -1.01341446e-02],
    [-1.60676802e-03, -1.23216271e-03, 1.61309326e-03, 5.96038518e-04, 7.66233398e-03, -8.11253645e-03, 3.60731534e-03, 2.58484311e-03, -5.29868774e-03, -7.21613516e-03, -2.02063204e-03, -1.20025483e-02, -2.25312768e-02],
    [-1.35033536e-04, -1.14734828e-03, 2.96194808e-03, -4.82438993e-04, 8.29480161e-03, -1.07303630e-02, 3.43408060e-03, 2.49636050e-03, -5.15470820e-03, -7.79220356e-03, -3.72358072e-03, -1.39361058e-02, -2.40548330e-02],
    [1.15490452e-03, -1.72093297e-03, 3.93611722e-03, -1.82752530e-03, 7.44026501e-03, -1.29915583e-02, 3.05345363e-03, 2.01627465e-03, -4.67057218e-03, -8.38610210e-03, -6.52894865e-03, -1.53838262e-02, -2.70648964e-02],
    [9.39368763e-04, -1.56542209e-03, 3.60085715e-03, -1.56144775e-03, 7.68503848e-03, -1.44367055e-02, 2.27967114e-03, 2.12537398e-03, -4.34743681e-03, -7.85464683e-03, -5.98943422e-03, -1.43080802e-02, -2.60633449e-02],
    [1.53029926e-03, -1.19532754e-03, 3.42704129e-03, -1.33573016e-03, 7.44044929e-03, -1.59225566e-02, 2.22281788e-03, 1.80873165e-03, -4.14707958e-03, -8.18741403e-03, -8.75608482e-03, -1.52408696e-02, -2.59097616e-02],
    [1.13998762e-03, -9.43129997e-04, 2.72442248e-03, -1.37578307e-03, 7.63854779e-03, -1.73605841e-02, 2.69820750e-03, 2.64374145e-03, -4.43338261e-03, -7.98033303e-03, -9.49566164e-03, -1.59538764e-02, -2.47115695e-02],
    [9.26774902e-04, -7.72965789e-04, 2.66772262e-03, -8.42340187e-04, 7.60750881e-03, -1.65029847e-02, 2.56959541e-03, 1.91586837e-03, -4.66758246e-03, -7.84040730e-03, -8.22839801e-03, -1.48917592e-02, -2.45383629e-02],
    [1.52758539e-03, -6.70118913e-04, 2.49509304e-03, -9.07083571e-04, 7.37839241e-03, -1.59741558e-02, 2.59439654e-03, 2.18186488e-03, -4.41894463e-03, -7.78898357e-03, -8.37297349e-03, -1.41396629e-02, -2.29874069e-02],
    [1.45031665e-03, -6.26348144e-04, 2.44611612e-03, -9.62475906e-04, 7.23797608e-03, -1.59281110e-02, 2.35964435e-03, 2.09836430e-03, -4.29397974e-03, -7.77457107e-03, -8.02613939e-03, -1.44513999e-02, -2.28457249e-02],
    [1.26742968e-03, -5.96015287e-04, 2.30100950e-03, -1.05523185e-03, 7.23678396e-03, -1.58796278e-02, 2.66314548e-03, 2.16753688e-03, -4.47623196e-03, -7.84309011e-03, -7.84827397e-03, -1.46900957e-02, -2.24470149e-02],
    [1.39800150e-03, -6.61352288e-04, 2.26555280e-03, -1.09788352e-03, 7.14976635e-03, -1.58703086e-02, 2.62591264e-03, 2.19073382e-03, -4.76608934e-03, -8.08398674e-03, -8.14541351e-03, -1.50591333e-02, -2.27801228e-02],
    [1.44740500e-03, -6.83182793e-04, 2.11722321e-03, -1.16093663e-03, 7.17097148e-03, -1.56636091e-02, 2.69523430e-03, 2.10887467e-03, -4.80911807e-03, -8.06267480e-03, -8.21825786e-03, -1.50389347e-02, -2.27123405e-02],
    [1.35233073e-03, -7.09101494e-04, 2.19607668e-03, -1.13048307e-03, 7.21794958e-03, -1.57708829e-02, 2.81180226e-03, 2.23752790e-03, -4.98330133e-03, -8.10891608e-03, -8.23317793e-03, -1.48586734e-02, -2.26769020e-02],
    [1.37238738e-03, -7.72566959e-04, 2.26827774e-03, -1.08285707e-03, 7.30326824e-03, -1.59994261e-02, 2.69096417e-03, 2.34680768e-03, -5.18369738e-03, -8.14882693e-03, -8.46097154e-03, -1.50990623e-02, -2.29161496e-02],
    [1.41198884e-03, -8.19434935e-04, 2.19852304e-03, -1.00218232e-03, 7.31320199e-03, -1.62709237e-02, 2.69167669e-03, 2.49947326e-03, -5.39570948e-03, -8.25032127e-03, -8.84933937e-03, -1.54363748e-02, -2.30705605e-02]
]
