[
    [5.57164613e-03, 1.57025697e-03, -3.32012478e-03, -1.15941290e-03, 2.35764175e-03, 1.12668676e-02, 2.18756045e-03, 1.77675370e-03, -3.70895698e-03, -3.99113363e-03, 7.16093913e-03, 6.68348240e-03, -2.43558245e-02],
    [9.99131381e-03, 1.58542499e-03, -3.77289319e-03, -2.10159088e-03, 3.72743063e-03, 1.74832197e-02, 2.78666842e-03, -3.02296593e-03, -4.50746308e-03, -7.42713595e-03, 6.08549832e-03, -2.91802087e-03, -2.32772651e-02],
    [1.11791819e-02, 1.43812957e-03, -4.79344323e-03, -1.88459545e-03, 4.12406625e-03, 1.78583818e-02, 2.73807533e-03, -2.11087920e-03, -5.13855237e-03, -7.43779588e-03, 5.13928333e-03, -2.23612382e-03, -2.13348549e-02],
    [1.03928649e-02, 2.15646530e-03, -5.21440706e-03, -2.32422227e-03, 4.44260235e-03, 1.41099072e-02, 1.90020695e-03, -1.82255221e-03, -4.36162652e-03, -8.06820579e-03, 5.84726697e-03, 1.05761472e-03, -1.81505728e-02],
    [1.05714790e-02, 2.31014596e-03, -5.13972342e-03, -2.19415390e-03, 4.53719236e-03, 1.27225035e-02, 1.92004451e-03, -1.70882798e-03, -3.54262247e-03, -9.10119128e-03, 6.15949295e-03, 3.39535600e-03, -1.84754644e-02],
    [1.08651288e-02, 2.67107696e-03, -5.30793267e-03, -3.42615212e-03, 4.40764292e-03, 1.27156298e-02, 1.65373602e-03, -8.13833301e-04, -1.79190976e-03, -1.02846359e-02, 1.04409310e-02, 6.98534139e-03, -1.58323575e-02],
    [1.26593912e-02, 2.53121330e-03, -4.25276658e-03, -2.62369781e-03, 4.26971245e-03, 8.11049395e-03, 2.45885752e-03, -1.69373904e-03, -1.24159040e-03, -1.01088157e-02, 8.63412878e-03, 7.30937301e-03, -1.48151650e-02],
    [1.21558518e-02, 3.70254767e-03, -3.74436877e-03, -1.57895394e-03, 4.99252105e-03, 6.71652703e-03, 3.61343482e-03, -1.34719149e-03, 5.07534764e-04, -1.14339681e-02, 1.19174375e-02, 9.41809535e-03, -1.00185096e-02],
    [1.13292608e-02, 3.00361753e-03, -3.14438374e-03, -3.56340284e-04, 4.59335269e-03, -4.37368913e-04, 5.08174509e-03, -1.67034682e-03, 2.80315252e-03, -9.63207485e-03, 1.18342630e-02, 1.38794247e-02, 2.44887927e-04],
    [1.02278083e-02, 3.42478370e-03, -3.83172829e-03, -1.22914667e-03, 4.14038784e-03, -3.37958762e-03, 5.58050729e-03, 3.30784147e-04, 5.41530821e-03, -7.70111045e-03, 1.09878936e-02, 1.61141801e-02, 4.72448285e-03],
    [7.89943280e-03, 4.84702750e-03, -4.66284645e-03, -8.28210016e-04, 3.73639578e-03, -1.03412122e-02, 5.75224272e-03, 1.69245728e-03, 4.13648517e-03, -7.41055393e-03, 6.51707088e-03, 1.49937928e-02, 1.07367213e-02],
    [7.03247709e-03, 5.53226611e-03, -5.08666027e-03, 1.28029423e-03, 3.96018202e-03, -1.36682843e-02, 4.42640086e-03, 1.48585956e-03, 5.87971879e-03, -5.74476346e-03, 4.27504850e-03, 1.31124766e-02, 1.97430771e-02],
    [5.78795040e-03, 6.48503985e-03, -3.54843366e-03, 6.41365077e-04, 3.90001691e-03, -1.00665189e-02, 4.82013681e-03, 4.68808169e-03, 1.02610334e-02, -2.97751317e-03, 4.79116168e-03, 2.38607875e-02, 2.71535081e-02],
    [4.23164507e-03, 6.02460631e-03, -2.75578225e-03, 4.19307017e-03, 2.74822060e-03, -1.05899053e-02, 7.02994673e-03, 6.96066259e-03, 1.04193804e-02, -2.90790750e-03, 4.84768802e-03, 1.84241934e-02, 2.43635905e-02],
    [3.49910549e-03, 4.24926070e-03, -2.49376065e-03, 2.85527350e-03, 3.03789294e-03, -8.56444945e-03, 5.23461825e-03, 7.98097750e-03, 1.06539233e-02, -1.09957376e-03, 9.35422451e-03, 1.27645439e-02, 2.26809094e-02],
    [4.59478200e-03, 2.64822728e-03, -4.46642222e-03, 2.44165445e-03, 2.32299622e-03, -3.71485475e-03, 2.94835401e-03, 9.64277817e-03, 8.67930457e-03, -2.56947256e-03, 1.30043721e-02, 8.59373553e-03, 9.73077784e-03],
    [7.04268856e-04, 4.03562062e-03, 3.19133196e-04, 4.65835114e-03, 5.81911642e-03, 1.21698583e-02, 6.09198417e-03, 3.12155444e-03, 3.67471890e-03, 8.56040281e-03, -2.60152420e-02, -2.48040773e-02, -1.55938339e-02]
]
