[
    [4.53602605e-03, 2.28552647e-03, -3.53074389e-03, -9.46117527e-04, 2.02956750e-03, 9.22288585e-03, 2.04215746e-03, 1.62663941e-03, -3.53892734e-03, -4.02385391e-03, 6.89369608e-03, 5.98546144e-03, -2.36242660e-02],
    [5.08457767e-03, 2.36743268e-03, -3.44625740e-03, -1.15084344e-03, 2.54964180e-03, 9.23853406e-03, 3.01084030e-03, -2.38865064e-03, -5.27695739e-03, -5.93697098e-03, 1.82239699e-03, 3.30885598e-03, -3.21543898e-02],
    [7.44299100e-03, 2.75250041e-03, -2.52914399e-03, -2.04458273e-03, 2.82035312e-03, 9.07187687e-03, 3.01838906e-03, -3.68542189e-03, -4.91954731e-03, -7.20745928e-03, -2.49320308e-04, 1.12204435e-03, -3.20090177e-02],
    [8.51116703e-03, 3.00589632e-03, -2.38518661e-03, -2.54513582e-03, 2.67246059e-03, 6.67203477e-03, 2.78038599e-03, -4.69060100e-03, -4.29565641e-03, -8.06901417e-03, -3.27607824e-03, -9.35721990e-04, -3.43249060e-02],
    [8.38354065e-03, 3.22956191e-03, -2.79106912e-03, -2.05720922e-03, 3.22186822e-03, 6.55983788e-03, 3.14693144e-03, -5.09437731e-03, -4.07752158e-03, -8.16189641e-03, -2.70605584e-03, -2.52761526e-04, -3.16884271e-02],
    [8.79352958e-03, 3.18961614e-03, -2.66581933e-03, -1.49801823e-03, 3.49368077e-03, 5.63849110e-03, 2.67116948e-03, -5.12297400e-03, -4.62785724e-03, -7.96432662e-03, -3.77900041e-03, -1.02896275e-03, -3.00690915e-02],
    [8.28354011e-03, 2.79758761e-03, -3.29064514e-03, -1.30658177e-03, 3.95321775e-03, 4.88049663e-03, 2.26499425e-03, -3.70652916e-03, -4.92901215e-03, -7.15791394e-03, -2.70258036e-03, -2.79329384e-03, -2.89866410e-02],
    [8.13500349e-03, 2.58351905e-03, -3.18233740e-03, -8.43495859e-04, 3.81886885e-03, 5.38632864e-03, 1.89947414e-03, -3.90615474e-03, -4.88077892e-03, -7.53844536e-03, -1.40327395e-03, -1.14250016e-03, -2.85987825e-02],
    [8.32595735e-03, 2.66714072e-03, -3.07962739e-03, -8.74781843e-04, 3.67305124e-03, 5.82992799e-03, 1.86929074e-03, -3.60651391e-03, -4.75587091e-03, -7.42114134e-03, -2.12671141e-03, -5.80697332e-04, -2.75477775e-02],
    [8.24473967e-03, 2.81528315e-03, -2.94104295e-03, -9.05658942e-04, 3.50038057e-03, 5.56675923e-03, 1.74314105e-03, -3.75547973e-03, -4.73250461e-03, -7.26650100e-03, -2.35285862e-03, -7.83359416e-04, -2.73279388e-02],
    [8.12078637e-03, 2.82528022e-03, -2.88916082e-03, -8.28829358e-04, 3.49987885e-03, 5.62244957e-03, 1.68534934e-03, -3.62847655e-03, -4.92345130e-03, -7.28473191e-03, -2.31331427e-03, -9.89680741e-04, -2.72914033e-02],
    [8.08499494e-03, 2.80327313e-03, -2.92780402e-03, -8.93968389e-04, 3.44196043e-03, 5.51414099e-03, 1.57287157e-03, -3.71415483e-03, -5.22924638e-03, -7.50037310e-03, -2.82648557e-03, -1.11256937e-03, -2.75838335e-02],
    [8.24129120e-03, 2.78505836e-03, -2.96899128e-03, -9.19186328e-04, 3.48343368e-03, 5.82423781e-03, 1.63719414e-03, -3.63874104e-03, -5.21607642e-03, -7.51418453e-03, -2.83656925e-03, -1.08281587e-03, -2.78549395e-02],
    [8.20986578e-03, 2.78738986e-03, -2.88430376e-03, -1.00071594e-03, 3.48639336e-03, 5.66637606e-03, 1.66387117e-03, -3.51278233e-03, -5.35495037e-03, -7.58005102e-03, -2.89403936e-03, -8.04965331e-04, -2.79269237e-02],
    [8.20676356e-03, 2.75111503e-03, -2.83657773e-03, -9.94111904e-04, 3.51256655e-03, 5.48138019e-03, 1.58213482e-03, -3.50755158e-03, -5.43961923e-03, -7.63245082e-03, -3.27627418e-03, -1.11931589e-03, -2.80216379e-02],
    [8.32834033e-03, 2.71389949e-03, -2.91179348e-03, -9.30674536e-04, 3.49864142e-03, 5.24584077e-03, 1.52378939e-03, -3.50958054e-03, -5.50768631e-03, -7.72949761e-03, -3.69748932e-03, -1.56585101e-03, -2.82134268e-02]
]
